gender, Category, product_name,link, product_images,price,description
hombre,accesorio,  SPLIT SUEDE BELT,https://www.zara.com/in/en/split-suede-belt-p02823409.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2823/409/702/2/w/448/2823409702_6_1_1.jpg?ts=1692790067427': 'Image 0 of SPLIT SUEDE BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2823/409/702/2/w/448/2823409702_6_2_1.jpg?ts=1692790067424': 'Image 1 of SPLIT SUEDE BELT from Zara'}]","₹ 2,990.00",Narrow leather belt with a split suede finish. Fastening with metal buckle and loop.
hombre,accesorio,  THIN LEATHER BELT,https://www.zara.com/in/en/thin-leather-belt-p05919307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5919/307/700/2/w/448/5919307700_6_1_1.jpg?ts=1691739356850': 'Image 0 of THIN LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5919/307/700/2/w/448/5919307700_6_2_1.jpg?ts=1691739358288': 'Image 1 of THIN LEATHER BELT from Zara'}]","₹ 2,990.00",Leather belt. Metal loop and buckle fastening.
hombre,accesorio,  BRAIDED STRETCH BELT,https://www.zara.com/in/en/braided-stretch-belt-p02823306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2823/306/800/2/w/448/2823306800_6_1_1.jpg?ts=1689591106266': 'Image 0 of BRAIDED STRETCH BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2823/306/800/2/w/448/2823306800_6_2_1.jpg?ts=1689591106205': 'Image 1 of BRAIDED STRETCH BELT from Zara'}]","₹ 2,990.00",Elastic belt. Leather trims. Fastens with metal buckle and loop.
hombre,accesorio,  EMBOSSED LEATHER BELT,https://www.zara.com/in/en/embossed-leather-belt-p02823304.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2823/304/702/2/w/448/2823304702_6_1_1.jpg?ts=1689924373743': 'Image 0 of EMBOSSED LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2823/304/702/2/w/448/2823304702_6_2_1.jpg?ts=1689924374043': 'Image 1 of EMBOSSED LEATHER BELT from Zara'}]","₹ 2,990.00",Leather belt. Embossed geometric detail. Fastening with metallic buckle and belt loop.
hombre,accesorio,  BRAIDED BELT,https://www.zara.com/in/en/braided-belt-p02823305.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2823/305/500/2/w/448/2823305500_6_1_1.jpg?ts=1689924373698': 'Image 0 of BRAIDED BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2823/305/500/2/w/448/2823305500_6_2_1.jpg?ts=1689924373846': 'Image 1 of BRAIDED BELT from Zara'}]","₹ 2,590.00",Plaited cotton belt. Fastening with metallic buckle and belt loop.
hombre,accesorio,  STRETCH REVERSIBLE BELT,https://www.zara.com/in/en/stretch-reversible-belt-p02823302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2823/302/800/2/w/448/2823302800_6_1_1.jpg?ts=1688714104398': 'Image 0 of STRETCH REVERSIBLE BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2823/302/800/2/w/448/2823302800_6_2_1.jpg?ts=1688714104679': 'Image 1 of STRETCH REVERSIBLE BELT from Zara'}]","₹ 2,990.00",Reversible stretch belt. Leather trims. Buckle and loop fastening.
hombre,accesorio,  REVERSIBLE LEATHER BELT,https://www.zara.com/in/en/reversible-leather-belt-p05919401.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/5919/401/800/2/w/448/5919401800_6_1_1.jpg?ts=1675328793662': 'Image 0 of REVERSIBLE LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/5919/401/800/2/w/448/5919401800_6_2_1.jpg?ts=1675328845528': 'Image 1 of REVERSIBLE LEATHER BELT from Zara'}]","₹ 2,890.00",Reversible leather belt. Buckle and loop fastening.
hombre,accesorio,  REVERSIBLE LEATHER BELT,https://www.zara.com/in/en/reversible-leather-belt-p06907406.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/6907/406/800/2/w/448/6907406800_6_1_1.jpg?ts=1674036216150': 'Image 0 of REVERSIBLE LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/6907/406/800/2/w/448/6907406800_6_2_1.jpg?ts=1674036217196': 'Image 1 of REVERSIBLE LEATHER BELT from Zara'}]","₹ 2,890.00",Reversible leather belt. Metal loop and buckle fastening.
hombre,accesorio,  REVERSIBLE LEATHER BELT,https://www.zara.com/in/en/reversible-leather-belt-p05919302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5919/302/746/2/w/448/5919302746_6_1_1.jpg?ts=1685693915753': 'Image 0 of REVERSIBLE LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5919/302/746/2/w/448/5919302746_6_2_1.jpg?ts=1685693915909': 'Image 1 of REVERSIBLE LEATHER BELT from Zara'}]","₹ 2,990.00",Reversible leather belt. Metallic buckle and loop fastening.
hombre,accesorio,  PACK OF 3 RIBBED SOCKS,https://www.zara.com/in/en/pack-of-3-ribbed-socks-p03992300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/300/800/2/w/448/3992300800_6_1_1.jpg?ts=1690803332071': 'Image 0 of PACK OF 3 RIBBED SOCKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/300/800/2/w/448/3992300800_6_2_1.jpg?ts=1690803332081': 'Image 1 of PACK OF 3 RIBBED SOCKS from Zara'}]",₹ 990.00,Pack of three pairs of ribbed knit socks with ribbed elasticated trims.
hombre,accesorio,  3-PACK OF MERCERISED COTTON SOCKS,https://www.zara.com/in/en/3-pack-of-mercerised-cotton-socks-p06389400.html,"[{'https://static.zara.net/photos///2022/I/0/2/p/6389/400/800/2/w/448/6389400800_6_1_1.jpg?ts=1661175210049': 'Image 0 of 3-PACK OF MERCERISED COTTON SOCKS from Zara'}, {'https://static.zara.net/photos///2022/I/0/2/p/6389/400/800/2/w/448/6389400800_6_2_1.jpg?ts=1661175208319': 'Image 1 of 3-PACK OF MERCERISED COTTON SOCKS from Zara'}]","₹ 1,590.00",Pack of 3 pairs of ribbed knit socks with a mercerised cotton finish and ribbed elastic trims.
hombre,accesorio,  3-PACK OF COMBINED SOCKS,https://www.zara.com/in/en/3-pack-of-combined-socks-p00348321.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0348/321/555/2/w/448/0348321555_6_1_1.jpg?ts=1692790067423': 'Image 0 of 3-PACK OF COMBINED SOCKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0348/321/555/2/w/448/0348321555_6_2_1.jpg?ts=1692790067419': 'Image 1 of 3-PACK OF COMBINED SOCKS from Zara'}]",₹ 990.00,Pack of 3 pairs of lightweight socks made of a spun cotton blend fabric. Ribbed trims.
hombre,accesorio,  3-PACK OF MATCHING SOCKS,https://www.zara.com/in/en/3-pack-of-matching-socks-p03992328.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/328/555/2/w/448/3992328555_6_1_1.jpg?ts=1688713058666': 'Image 0 of 3-PACK OF MATCHING SOCKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/328/555/2/w/448/3992328555_6_2_1.jpg?ts=1688713058342': 'Image 1 of 3-PACK OF MATCHING SOCKS from Zara'}]",₹ 990.00,Pack of 3 pairs of socks made of a spun cotton blend fabric. Ribbed trims.
hombre,accesorio,  PACK OF 3 RIBBED SOCKS,https://www.zara.com/in/en/pack-of-3-ribbed-socks-p03992309.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/309/555/2/w/448/3992309555_6_1_1.jpg?ts=1688111367562': 'Image 0 of PACK OF 3 RIBBED SOCKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/309/555/2/w/448/3992309555_6_2_1.jpg?ts=1688111368271': 'Image 1 of PACK OF 3 RIBBED SOCKS from Zara'}]",₹ 990.00,Pack of three pairs of knit socks with ribbed trims.
hombre,accesorio,  SOCKS WITH STRIPE AND EMBROIDERY,https://www.zara.com/in/en/socks-with-stripe-and-embroidery-p00348319.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0348/319/507/2/w/448/0348319507_6_1_1.jpg?ts=1693207611797': 'Image 0 of SOCKS WITH STRIPE AND EMBROIDERY from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0348/319/507/2/w/0/0348319507_6_2_1.jpg?ts=1693207611731': 'Image 1 of SOCKS WITH STRIPE AND EMBROIDERY from Zara'}]",₹ 690.00,Socks made of a spun cotton blend. Matching embroidery detail. Ribbed trims.
hombre,accesorio,  PACK OF 4 ANKLE SOCKS,https://www.zara.com/in/en/pack-of-4-ankle-socks-p00348485.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/0348/485/250/2/w/448/0348485250_6_1_1.jpg?ts=1676891337982': 'Image 0 of PACK OF 4 ANKLE SOCKS from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/0348/485/250/2/w/448/0348485250_6_2_1.jpg?ts=1676891338281': 'Image 1 of PACK OF 4 ANKLE SOCKS from Zara'}]",₹ 990.00,Pack of four pairs of ankle socks made of a spun cotton blend fabric. Ribbed trims.
hombre,accesorio,  4-PACK OF NO-SHOW SOCKS,https://www.zara.com/in/en/4-pack-of-no-show-socks-p00348407.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/0348/407/250/2/w/448/0348407250_6_1_1.jpg?ts=1672908227874': 'Image 0 of 4-PACK OF NO-SHOW SOCKS from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/0348/407/250/2/w/448/0348407250_6_2_1.jpg?ts=1672908230603': 'Image 1 of 4-PACK OF NO-SHOW SOCKS from Zara'}]",₹ 990.00,Pack of no-show ankle socks made of a cotton blend fabric. Ribbed trims.
hombre,accesorio,  4-PACK OF NO-SHOW SOCKS,https://www.zara.com/in/en/4-pack-of-no-show-socks-p00348482.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/0348/482/555/2/w/448/0348482555_6_1_1.jpg?ts=1675854282846': 'Image 0 of 4-PACK OF NO-SHOW SOCKS from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/0348/482/555/2/w/448/0348482555_6_2_1.jpg?ts=1675854283511': 'Image 1 of 4-PACK OF NO-SHOW SOCKS from Zara'}]",₹ 990.00,Pack of four pairs of no-show ankle socks made of a spun cotton blend fabric. Ribbed trims.
hombre,accesorio,  4-PACK OF NO-SHOW SOCKS,https://www.zara.com/in/en/4-pack-of-no-show-socks-p00348402.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/0348/400/800/2/w/448/0348400800_6_1_1.jpg?ts=1672908228701': 'Image 0 of 4-PACK OF NO-SHOW SOCKS from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/0348/400/800/2/w/448/0348400800_6_2_1.jpg?ts=1672908231482': 'Image 1 of 4-PACK OF NO-SHOW SOCKS from Zara'}]",₹ 990.00,Pack of four pairs of no-show socks made of a cotton blend fabric. Ribbed trims.
hombre,accesorio,  4-PACK OF NO-SHOW SOCKS,https://www.zara.com/in/en/4-pack-of-no-show-socks-p00348305.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0348/305/555/2/w/448/0348305555_6_1_1.jpg?ts=1686123672463': 'Image 0 of 4-PACK OF NO-SHOW SOCKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0348/305/555/2/w/448/0348305555_6_2_1.jpg?ts=1686123672856': 'Image 1 of 4-PACK OF NO-SHOW SOCKS from Zara'}]",₹ 990.00,Pack of 4 pairs of no-show socks made of a spun cotton blend fabric. Ribbed trims.
